id;art;name;category;weight;date;price
1;100001;product 1;cat 1;2217;2017-08-25;40890
2;100002;product 2;cat 1;1478;2018-10-13;12868
3;100003;product 3;cat 1;4067;2017-09-19;83130
4;100004;product 4;cat 1;891;2018-03-24;29065
5;100005;product 5;cat 1;3461;2017-11-02;55762
6;100006;product 6;cat 5;3013;2017-10-22;3517
7;100007;product 7;cat 1;3133;2018-01-12;48307
8;100008;product 8;cat 1;4079;2018-07-20;10489
9;100009;product 9;cat 1;223;2018-10-11;14850
10;100010;product 10;cat 1;1472;2018-08-09;53288
11;100011;product 11;cat 1;1545;2018-06-12;35615
12;100012;product 12;cat 1;3504;2017-06-26;48884
13;100013;product 13;cat 2;2490;2017-05-24;50650
14;100014;product 14;cat 3;2102;2018-11-22;51137
15;100015;product 15;cat 4;3358;2018-12-12;12356
16;100016;product 16;cat 5;3230;2018-10-15;13848
17;100017;product 17;cat 6;486;2018-12-04;9315
18;100018;product 18;cat 7;4042;2017-08-15;58536
19;100019;product 19;cat 8;2818;2017-06-01;56768
20;100020;product 20;cat 9;3101;2017-02-19;22987
21;100021;product 21;cat 10;923;2018-06-12;50075
22;100022;product 22;cat 11;100;2017-09-25;61492
23;100023;product 23;cat 3;2790;2018-09-03;45941
24;100024;product 24;cat 3;923;2017-02-23;45488
25;100025;product 25;cat 14;4188;2018-09-25;26131
26;100026;product 26;cat 15;2744;2018-01-15;62478
27;100027;product 27;cat 16;1742;2018-06-23;39292
28;100028;product 28;cat 17;1384;2017-02-17;40104
29;100029;product 29;cat 18;2578;2017-05-11;2206
30;100030;product 30;cat 19;799;2017-08-04;69769
31;100031;product 31;cat 20;512;2017-09-02;79784
32;100032;product 32;cat 21;2660;2018-12-29;52813
33;100033;product 33;cat 22;940;2018-04-01;22741
34;100034;product 34;cat 23;4006;2017-03-12;52340
35;100035;product 35;cat 24;2581;2017-01-17;1057
36;100036;product 36;cat 25;2927;2018-12-10;62869
37;100037;product 37;cat 26;246;2017-02-25;27696
38;100038;product 38;cat 27;2056;2018-12-13;89570
39;100039;product 39;cat 28;2459;2017-01-28;15703
40;100040;product 40;cat 29;3021;2017-11-29;13802
41;100041;product 41;cat 30;3418;2018-01-09;6014
42;100042;product 42;cat 31;4204;2018-02-21;57104
43;100043;product 43;cat 32;318;2018-08-16;60644
44;100044;product 44;cat 33;2091;2018-04-25;47436
45;100045;product 45;cat 34;4922;2017-03-30;46786
46;100046;product 46;cat 35;4351;2018-04-16;46491
47;100047;product 47;cat 36;734;2017-07-17;8441
48;100048;product 48;cat 37;4359;2017-01-31;80265
49;100049;product 49;cat 38;2763;2018-05-11;33361
50;100050;product 50;cat 39;4288;2018-07-13;85890
51;100051;product 51;cat 40;808;2018-06-24;745
52;100052;product 52;cat 41;1577;2017-01-11;1054
53;100053;product 53;cat 42;4057;2018-04-25;66276
54;100054;product 54;cat 43;1054;2018-10-18;22147
55;100055;product 55;cat 44;814;2018-07-03;48080
56;100056;product 56;cat 45;1685;2018-12-14;6014
57;100057;product 57;cat 46;4605;2017-01-02;72577
58;100058;product 58;cat 47;907;2018-06-27;73060
59;100059;product 59;cat 48;2678;2017-08-11;27411
60;100060;product 60;cat 49;3033;2017-03-08;52146
61;100061;product 61;cat 50;1228;2017-04-25;51119
62;100062;product 62;cat 51;4585;2017-01-18;53785
63;100063;product 63;cat 52;213;2018-01-23;55836
64;100064;product 64;cat 53;3373;2018-04-12;57653
65;100065;product 65;cat 54;4403;2018-05-22;86056
66;100066;product 66;cat 55;3071;2017-04-06;27295
67;100067;product 67;cat 56;1828;2017-06-18;14105
68;100068;product 68;cat 57;3344;2018-12-14;24852
69;100069;product 69;cat 58;1292;2018-10-17;40917
70;100070;product 70;cat 59;2021;2018-05-11;69720
